country_code,ECONOMY,region,income_group,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2021_GDP
ETH,Ethiopia,Sub-Saharan Africa,Low income,54163.2482,63078.65776,72157.65333,76794.51691,80210.34597,92561.90203,96611.0227,96280.33474
FJI,Fiji,East Asia & Pacific,Upper middle income,4857.075446,4682.442417,4930.244731,5353.491805,5581.399255,5496.254429,4494.085849,4906.548997
FIN,Finland,Europe & Central Asia,High income,274497.2308,234440.081,240607.907,255647.9799,275715.0875,268782.4714,269751.3129,294801.5354
FRA,France,Europe & Central Asia,High income,2859225.677,2444467.027,2477754.06,2601582.321,2798151.192,2736254.189,2637133.901,2946041.59
PYF,French Polynesia,East Asia & Pacific,High income,6143.813744,5323.70493,5493.3049,5833.352684,6297.506326,6166.118532,5816.889144,6141.673058
GAB,Gabon,Sub-Saharan Africa,Upper middle income,18179.66861,14372.29038,14023.82932,14929.64648,16867.33232,16874.40546,15111.38202,19002.68496
GMB,Gambia,Sub-Saharan Africa,Low income,1229.461733,1378.176606,1467.2548,1504.954083,1670.686436,1805.852806,1830.414409,2013.302275
GEO,Georgia,Europe & Central Asia,Upper middle income,17627.39011,14953.67599,15141.59862,16242.68708,17599.58539,17476.97647,15891.60371,18349.05374
DEU,Germany,Europe & Central Asia,High income,3883920.155,3356235.704,3467498.002,3690849.153,3977289.455,3888326.789,3846413.929,4227730.185
GHA,Ghana,Sub-Saharan Africa,Lower middle income,54722.86533,50033.91174,56165.1729,60403.02757,67277.02764,68353.47745,68532.17975,76190.58224
GRC,Greece,Europe & Central Asia,High income,235144.9561,195604.8612,193017.0428,199844.4184,212049.4591,205144.1629,188835.2016,211477.3381
GRL,Greenland,Europe & Central Asia,High income,2842.065877,2499.113085,2707.139441,2851.613478,3040.405232,2982.226435,3130.216612,3322.058028
GRD,Grenada,Latin America & Caribbean,Upper middle income,911.4962963,997.0074074,1061.640741,1125.685185,1166.514432,1213.4854,1043.412699,1071.353392
GTM,Guatemala,Latin America & Caribbean,Upper middle income,57852.15046,62186.06476,66053.40265,71653.75655,73208.92854,77020.03189,77604.63225,84091.72852
GIN,Guinea,Sub-Saharan Africa,Low income,8778.473634,8794.202416,8603.833168,10324.66826,11857.03036,13513.80931,15489.9858,17785.90994
GNB,GuineaBissau,Sub-Saharan Africa,Low income,1053.512571,1047.436699,1179.004191,1350.177012,1382.453563,1322.269762,1314.998924,1438.271437
GUY,Guyana,Latin America & Caribbean,Upper middle income,4127.660158,4279.840194,4482.697337,4748.174334,4787.637006,5173.764988,5471.270983,7586.914138
HTI,Haiti,Latin America & Caribbean,Lower middle income,14597.05529,14227.61636,13333.35578,15237.36099,15822.21444,14006.80599,15505.1865,19208.23897
HND,Honduras,Latin America & Caribbean,Lower middle income,19756.53366,20979.79169,21717.60896,23136.24805,24067.75047,25089.93711,23827.85969,27886.95173
HUN,Hungary,Europe & Central Asia,High income,141078.9848,125210.3246,128636.1083,143136.2456,160586.8338,163526.4914,155808.4362,180781.9973
ISL,Iceland,Europe & Central Asia,High income,17867.66218,17517.21052,20793.16803,24728.28518,26267.06376,24857.74045,21718.07573,25348.75831
IND,India,South Asia,Lower middle income,2042939.29,2146758.594,2290591.031,2624329.038,2761338.203,2889949.138,2664748.748,3171346.868
IDN,Indonesia,East Asia & Pacific,Lower middle income,890814.7555,860854.2327,931877.364,1015618.744,1042271.533,1119091.262,1058423.841,1185330.664
IRN,Iran (Islamic Republic of),Middle East & North Africa,Lower middle income,472394.8131,417210.1989,466083.1179,503710.0105,526365.3931,653592.8189,939316.2364,1410912.236
IRQ,Iraq,Middle East & North Africa,Upper middle income,228415.6562,166774.1049,166602.4887,187217.652,227367.469,235097.2081,166756.9844,202449.3033
IRL,Ireland,Europe & Central Asia,High income,258625.193,291462.7997,298725.2292,335430.8301,385041.7113,399122.0636,425888.9514,487449.3619
ISR,Israel,Middle East & North Africa,High income,310945.0735,300078.2586,319024.6334,355277.448,373641.2905,397934.6037,407100.8545,468731.8273
ITA,Italy,Europe & Central Asia,High income,2159133.92,1835899.237,1875797.464,1961796.197,2091932.426,2009383.867,1888709.444,2095083.221
JAM,Jamaica,Latin America & Caribbean,Upper middle income,13899.22283,14197.70311,14077.10252,14808.98527,15730.7922,15830.76295,13812.42186,14885.1418
JPN,Japan,East Asia & Pacific,High income,4896994.405,4444930.652,5003677.628,4930837.369,5036891.741,5148781.948,5057758.959,4953196.811
JOR,Jordan,Middle East & North Africa,Upper middle income,36847.64359,38587.01794,39892.55115,41408.4507,42932.39437,44502.8169,43697.1831,45780.95584
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,221415.614,184388.4044,137278.3201,166805.789,179339.9775,181667.1158,171082.2853,190722.4435
KEN,Kenya,Sub-Saharan Africa,Lower middle income,67316.28907,70120.44666,74815.1438,82064.79841,92202.97994,100554.2057,101013.7454,107041.3337
KIR,Kiribati,East Asia & Pacific,Lower middle income,177.8681955,170.2922479,178.5079595,188.1977589,196.229127,177.9346135,180.9138079,203.7614797
KOR,"Korea, Republic of",East Asia & Pacific,High income,1484318.173,1465773.246,1500111.551,1623901.466,1724755.499,1651222.574,1637895.757,1798528.323
KWT,Kuwait,Middle East & North Africa,High income,162656.2261,114584.5703,109406.5001,120687.7507,138202.3599,136191.6327,105948.7652,138827.7462
KGZ,Kyrgyzstan,Europe & Central Asia,Lower middle income,7468.102369,6678.177483,6813.095396,7702.938395,8271.106196,8871.019823,7735.934995,8482.457623
LAO,Lao People's Dem. Rep.,East Asia & Pacific,Lower middle income,13268.42171,14390.44613,15805.69248,17071.17271,18141.66442,18740.56151,19082.03057,19191.33703
LVA,Latvia,Europe & Central Asia,High income,31345.14867,27252.12863,28064.53335,30483.80602,34429.02344,34308.78383,33707.32082,38853.08053
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2441.063149,2359.686745,2131.522808,2304.459267,2512.815653,2453.706774,2273.495416,2791.912309
LBR,Liberia,Sub-Saharan Africa,Low income,2053,2669,2757,2763,2744.956787,2582.242493,2480.889253,2808.78299
