country_code,YEARS,GDP_USdollars_millions,GDP_per_capita_Usdollars
SLV,2020,24638.72339,3915.426131
SLV,2021,28105.14119,4451.124145
EST,2008,24313.2062,18184.74658
EST,2009,19641.73712,14717.85072
EST,2010,19535.11535,14671.12419
EST,2011,23183.61605,17465.05165
EST,2012,23020.46678,17404.38502
EST,2013,25108.61509,19050.80274
EST,2014,26598.65788,20234.40988
EST,2015,22881.55819,17404.96433
EST,2016,24056.48777,18281.03387
EST,2017,26924.3851,20435.2059
EST,2018,30489.5009,23060.58089
EST,2019,31045.59175,23394.63403
EST,2020,30650.28547,23054.96544
EST,2021,35727.55375,26889.08471
SWZ,2008,3294.084181,3022.456056
SWZ,2009,3580.427986,3270.1377
SWZ,2010,4438.765108,4035.5345
SWZ,2011,4820.478599,4360.959894
SWZ,2012,4886.677642,4396.692629
SWZ,2013,4597.723865,4111.281186
SWZ,2014,4422.322926,3927.933568
SWZ,2015,4058.639148,3579.248871
SWZ,2016,3816.015732,3339.987372
SWZ,2017,4401.526105,3822.79341
SWZ,2018,4665.138448,4020.187765
SWZ,2019,4471.045112,3822.670501
SWZ,2020,3835.240301,3248.400508
SWZ,2021,4441.724572,3725.43203
ETH,2008,25608.60579,303.5737865
ETH,2009,28194.19994,324.984264
ETH,2010,26311.2972,294.8447839
ETH,2011,30479.44369,331.9552513
ETH,2012,42210.50959,446.9024622
ETH,2013,46542.02336,479.3977164
ETH,2014,54163.2482,543.0075618
ETH,2015,63078.65776,615.5703255
ETH,2016,72157.65333,685.3019391
ETH,2017,76794.51691,709.7594447
ETH,2018,80210.34597,721.7740628
ETH,2019,92561.90203,811.0885054
ETH,2020,96611.0227,824.3900647
ETH,2021,96280.33474,800.4482257
FJI,2008,3523.166619,3928.900215
FJI,2009,2870.571191,3184.629831
FJI,2010,3140.527461,3469.548185
FJI,2011,3774.772293,4155.613491
FJI,2012,3972.027667,4359.79192
FJI,2013,4189.863717,4586.84105
FJI,2014,4857.075446,5305.03238
FJI,2015,4682.442417,5105.148732
FJI,2016,4930.244731,5368.467353
FJI,2017,5353.491805,5825.224293
FJI,2018,5581.399255,6073.366211
FJI,2019,5496.254429,5984.174061
FJI,2020,4494.085849,4882.636279
FJI,2021,4906.548997,5306.614678
FIN,2008,284564.5178,53556.51666
FIN,2009,252481.3177,47291.64013
FIN,2010,249181.1905,46460.67493
FIN,2011,275243.6978,51083.00259
FIN,2012,258304.8346,47711.77724
FIN,2013,271285.2806,49878.96031
FIN,2014,274497.2308,50260.96246
FIN,2015,234440.081,42785.24494
FIN,2016,240607.907,43784.95325
FIN,2017,255647.9799,46412.76001
FIN,2018,275715.0875,49989.4909
FIN,2019,268782.4714,48678.92244
FIN,2020,269751.3129,48784.31575
FIN,2021,294801.5354,53251.79938
FRA,2008,2924967.757,45814.34952
FRA,2009,2695512.641,41962.93454
FRA,2010,2647971.898,40988.14073
FRA,2011,2867488.899,44149.43236
FRA,2012,2689568.359,41212.46171
FRA,2013,2817631.414,42990.41729
FRA,2014,2859225.677,43442.90429
FRA,2015,2444467.027,37004.7483
FRA,2016,2477754.06,37397.62663
FRA,2017,2601582.321,39163.1983
FRA,2018,2798151.192,42022.65641
FRA,2019,2736254.189,41003.32021
FRA,2020,2637133.901,39455.97006
FRA,2021,2946041.59,44028.22421
GAB,2008,15508.57636,9692.993503
GAB,2009,12065.15333,7296.550879
GAB,2010,14358.63101,8391.437702
